State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr)
NY,Bethlehem Energy Center (Albany),2539,10003,,2019,RGGI,8382.36,12,1328452.77,,4.128,0.0052,32.923,817643.964,1.38E+07,2,NPCC,Albany County,Electric Utility,"PSEG Power New York, Inc.","PSEG Power New York, Inc.","ARP : Michael S Mastriani (609205),CSSO2G1 : Michael S Mastriani (609205),CSOSG2 : Michael S Mastriani (609205),CSNOX : Michael S Mastriani (609205),RGGI : Michael S Mastriani (609205)","ARP : Mark F Strickland (603622),CSSO2G1 : Mark F Strickland (603622),CSOSG2 : Mark F Strickland (603622),CSNOX : Mark F Strickland (603622),RGGI : Mark F Strickland (603622)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.5905,-73.7636,2133
NY,Brooklyn Navy Yard Cogeneration,54914,1,,2019,RGGI,8004.59,12,802921.1,,2.78,0.0071,32.23,551989.525,9240785.888,2,NPCC,Kings County,Cogeneration,Brooklyn Navy Yard Cogeneration,"BNY Power OPerations, LLC","CSSO2G1 : Mark McDaniels (2321),ARP : Mark McDaniels (2321),RGGI : Mark McDaniels (2321),CSNOX : Mark McDaniels (2321),CSOSG2 : Mark McDaniels (2321)","CSSO2G1 : Carter Carlton (609210),ARP : Carter Carlton (609210),RGGI : Carter Carlton (609210),CSNOX : Carter Carlton (609210),CSOSG2 : Carter Carlton (609210)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,40.6994,-73.9758,670
NY,Brooklyn Navy Yard Cogeneration,54914,2,,2019,RGGI,7657.7,12,790177.24,,2.691,0.007,30.495,533645.59,8956621.825,2,NPCC,Kings County,Cogeneration,Brooklyn Navy Yard Cogeneration,"BNY Power OPerations, LLC","ARP : Mark McDaniels (2321),RGGI : Mark McDaniels (2321),CSNOX : Mark McDaniels (2321),CSSO2G1 : Mark McDaniels (2321),CSOSG2 : Mark McDaniels (2321)","ARP : Carter Carlton (609210),RGGI : Carter Carlton (609210),CSNOX : Carter Carlton (609210),CSSO2G1 : Carter Carlton (609210),CSOSG2 : Carter Carlton (609210)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,40.6994,-73.9758,1531
NY,Caithness Long Island Energy Center,56234,1,,2019,RGGI,7308.93,12,2264238.36,,4.531,0.0069,51.432,897528.13,1.51E+07,2,NPCC,Suffolk County,Electric Utility,Caithness Energy,Siemens Power Generation Operating Services Co,"CSNOX : Thomas A Grace (1245),ARP : Thomas A Grace (1245),CSSO2G1 : Thomas A Grace (1245),CSOSG2 : Thomas A Grace (1245),RGGI : Thomas A Grace (1245)","CSNOX : Gary Keevill (603822),ARP : Gary Keevill (603822),CSSO2G1 : Gary Keevill (603822),CSOSG2 : Gary Keevill (603822),RGGI : Gary Keevill (603822)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction,,,40.8142,-72.9403,1531
NY,Carr Street Generating Station,50978,A,,2019,RGGI,710.69,12,19721.46,,0.073,0.0315,3.267,14483.704,243712.585,2,,Onondaga County,Electric Utility,"Carr Street Generating Station, LP",Brookfield Renewable Energy Group,"CSNOX : Jon Elmer (608356),CSSO2G1 : Jon Elmer (608356),RGGI : Jon Elmer (608356),ARP : Jon Elmer (608356),CSOSG2 : Jon Elmer (608356)","CSNOX : Kenny l Cloinger (606200),CSSO2G1 : Kenny l Cloinger (606200),RGGI : Kenny l Cloinger (606200),ARP : Kenny l Cloinger (606200),CSOSG2 : Kenny l Cloinger (606200)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Ammonia Injection,,,43.0611,-76.0819,1531
NY,Carr Street Generating Station,50978,B,,2019,RGGI,706.09,12,19578.08,,0.074,0.0309,3.383,14720.84,247726.848,2,,Onondaga County,Electric Utility,"Carr Street Generating Station, LP",Brookfield Renewable Energy Group,"CSNOX : Jon Elmer (608356),RGGI : Jon Elmer (608356),ARP : Jon Elmer (608356),CSSO2G1 : Jon Elmer (608356),CSOSG2 : Jon Elmer (608356)","CSNOX : Kenny l Cloinger (606200),RGGI : Kenny l Cloinger (606200),ARP : Kenny l Cloinger (606200),CSSO2G1 : Kenny l Cloinger (606200),CSOSG2 : Kenny l Cloinger (606200)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Ammonia Injection,,,43.0611,-76.0819,789
NY,Carthage Energy,10620,1,,2019,RGGI,78.08,12,3207.75,,0.009,0.1407,1.969,1747.254,29396.529,2,NPCC,Jefferson County,Cogeneration,"Carthage Energy, LLC","Wood Group Power Operations, Inc.","CSSO2G1 : Greg Sharland (2129),RGGI : Greg Sharland (2129),CSOSG2 : Greg Sharland (2129),ARP : Greg Sharland (2129),CSNOX : Greg Sharland (2129)","CSSO2G1 : Walter J Relling (602898),RGGI : Walter J Relling (602898),CSOSG2 : Walter J Relling (602898),ARP : Walter J Relling (602898),CSNOX : Walter J Relling (602898)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,43.9842,-75.6225,628
NY,"Castleton Power, LLC",10190,1,,2019,RGGI,2372.31,12,135263.36,,0.365,0.0787,44.832,72312.39,1216663.482,2,NPCC,Rensselaer County,Electric Utility,"Castleton Power, LLC",Castleton Energy Services,"RGGI : Steve G Konisky (2616),CSSO2G1 : Steve G Konisky (2616),CSNOX : Steve G Konisky (2616),CSOSG2 : Steve G Konisky (2616),ARP : Steve G Konisky (2616)","RGGI : Daniel Rotunno (2451),CSSO2G1 : Daniel Rotunno (2451),CSNOX : Daniel Rotunno (2451),CSOSG2 : Daniel Rotunno (2451),ARP : Daniel Rotunno (2451)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,42.5375,-73.7433,2650
NY,"Empire Generating Co, LLC",56259,CT-1,,2019,RGGI,5492.93,12,1272080.12,,2.741,0.0135,39.834,541989.407,9114781.466,2,NPCC,Rensselaer County,Electric Utility,"Empire Generating Co, LLC","Empire Generating Co, LLC, NAES Corporation","RGGI : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),CSOSG2 : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),ARP : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),CSSO2G1 : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),CSNOX : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019)","RGGI : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),CSOSG2 : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),ARP : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),CSSO2G1 : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),CSNOX : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.6296,-73.749,540
NY,"Empire Generating Co, LLC",56259,CT-2,,2019,RGGI,5466.4,12,1263947.01,,2.705,0.0132,39.169,534945.632,8996661.595,2,NPCC,Rensselaer County,Electric Utility,"Empire Generating Co, LLC","Empire Generating Co, LLC, NAES Corporation","CSOSG2 : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),ARP : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),CSSO2G1 : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),CSNOX : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019),RGGI : Kurt Nuss (608408) (Ended Oct 21, 2019)<br>Chester Szymanski (609577) (Started Oct 21, 2019)","CSOSG2 : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),ARP : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),CSSO2G1 : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),CSNOX : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019),RGGI : Brock Shealy (606904) (Ended Oct 15, 2019)<br>Janis Fallon (605643) (Started Oct 15, 2019)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,42.6296,-73.749,900
NY,Fortistar North Tonawanda Inc,54131,NTCT1,,2019,RGGI,333.68,12,13305.53,,0.047,0.0959,6.78,9245.167,155575.425,2,,Niagara County,Cogeneration,Fortistar,North American Energy Services,"CSSO2G1 : Daniel Rotunno (2451),CSOSG2 : Daniel Rotunno (2451),RGGI : Daniel Rotunno (2451),CSNOX : Daniel Rotunno (2451)","CSSO2G1 : Lewis L Staley (2239),CSOSG2 : Lewis L Staley (2239),RGGI : Lewis L Staley (2239),CSNOX : Lewis L Staley (2239)",,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,43.0483,-78.8539,3100
NY,Indeck-Corinth Energy Center,50458,1,,2019,RGGI,4519.25,12,583751.25,,1.424,0.0271,61.893,284004.225,4748012.825,2,NPCC,Saratoga County,Cogeneration,Indeck-Corinth Limited Partnership,Indeck-Corinth Limited Partnership,"CSSO2G1 : Michael D Ferguson (2911),ARP : Michael D Ferguson (2911),CSOSG2 : Michael D Ferguson (2911),RGGI : Michael D Ferguson (2911),CSNOX : Michael D Ferguson (2911)","CSSO2G1 : Mike E Minnolera (603852),ARP : Mike E Minnolera (603852),CSOSG2 : Mike E Minnolera (603852),RGGI : Mike E Minnolera (603852),CSNOX : Mike E Minnolera (603852)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,43.25,-73.8125,3100
NY,Indeck-Olean Energy Center,54076,1,,2019,RGGI,1927.25,12,120542,,0.314,0.0422,19.395,62272.6,1047455.95,2,NPCC,Cattaraugus County,Cogeneration,Indeck-Olean Limited Partnership,Indeck-Olean Limited Partnership,"RGGI : Michael D Ferguson (2911),ARP : Michael D Ferguson (2911),CSNOX : Michael D Ferguson (2911),CSSO2G1 : Michael D Ferguson (2911),CSOSG2 : Michael D Ferguson (2911)","RGGI : Donald D Hittner (604404),ARP : Donald D Hittner (604404),CSNOX : Donald D Hittner (604404),CSSO2G1 : Donald D Hittner (604404),CSOSG2 : Donald D Hittner (604404)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction<br>Steam Injection,,,42.0875,-78.4578,3100
NY,Indeck-Oswego Energy Center,50450,1,,2019,RGGI,586.75,12,25770,,0.07,0.1301,13.936,13840.15,232865.925,2,NPCC,Oswego County,Cogeneration,Indeck-Oswego Limited Partnership,Indeck-Oswego Limited Partnership,"ARP : Michael D Ferguson (2911),CSOSG2 : Michael D Ferguson (2911),CSSO2G1 : Michael D Ferguson (2911),CSNOX : Michael D Ferguson (2911),RGGI : Michael D Ferguson (2911)","ARP : John B Kingston (2365),CSOSG2 : John B Kingston (2365),CSSO2G1 : John B Kingston (2365),CSNOX : John B Kingston (2365),RGGI : John B Kingston (2365)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,43.4682,-76.4965,850
NY,Indeck-Silver Springs Energy Center,50449,1,,2019,RGGI,1084.5,12,44569.5,,0.126,0.1075,20.956,24993.6,420542.725,2,NPCC,Wyoming County,Cogeneration,Indeck Energy Services of Silver Springs,Indeck Energy Services of Silver Springs,"CSOSG2 : Michael D Ferguson (2911),RGGI : Michael D Ferguson (2911),CSNOX : Michael D Ferguson (2911),CSSO2G1 : Michael D Ferguson (2911),ARP : Michael D Ferguson (2911)","CSOSG2 : Donald D Hittner (604404),RGGI : Donald D Hittner (604404),CSNOX : Donald D Hittner (604404),CSSO2G1 : Donald D Hittner (604404),ARP : Donald D Hittner (604404)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,42.6544,-78.0772,570
NY,Indeck-Yerkes Energy Center,50451,1,,2019,RGGI,698.25,12,26932.5,,0.078,0.1733,20.161,15498.025,260800.5,2,NPCC,Erie County,Cogeneration,Indeck-Yerkes Limited Partnership,Indeck-Yerkes Limited Partnership,"ARP : Michael D Ferguson (2911),CSNOX : Michael D Ferguson (2911),CSSO2G1 : Michael D Ferguson (2911),CSOSG2 : Michael D Ferguson (2911),RGGI : Michael D Ferguson (2911)","ARP : John B Kingston (2365),CSNOX : John B Kingston (2365),CSSO2G1 : John B Kingston (2365),CSOSG2 : John B Kingston (2365),RGGI : John B Kingston (2365)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,42.9671,-78.9182,627
NY,KIAC Cogeneration,54114,GT1,,2019,RGGI,4186.16,12,184571.88,,0.548,0.0284,23.77,108561.272,1826754.962,2,NPCC,Queens County,Cogeneration,Calpine Corporation,Calpine Corporation,"CSSO2G1 : Michael O'Brien (605705),RGGI : Michael O'Brien (605705),CSNOX : Michael O'Brien (605705),CSOSG2 : Michael O'Brien (605705)","CSSO2G1 : Patrick Blanchard (1082),RGGI : Patrick Blanchard (1082),CSNOX : Patrick Blanchard (1082),CSOSG2 : Patrick Blanchard (1082)",,,Operating,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Selective Catalytic Reduction,,,40.6417,-73.7778,2080
