State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
"NJ","Bayonne Energy Center","56964","GT10",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"04/10/2018","Operating","643.0",
"NJ","Bayonne Energy Center","56964","GT2",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"01/26/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT3",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"02/22/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT4",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"02/21/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT5",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"03/13/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT6",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"03/14/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT7",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"03/25/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT8",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"04/11/2012","Operating","603.0",
"NJ","Bayonne Energy Center","56964","GT9",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2",,"Hudson County","NJ017","017","Electric Utility","40.6529","-74.0916","Bayonne Energy Center, LLC","Bayonne Energy Center, LLC","Ellen Allman (607599)","Sharon Brown (608353)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction",,,"04/11/2018","Operating","643.0",
"NJ","Bayonne Plant Holding, LLC","50497","001001",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621) (Started Apr 14, 2009)","Mark K Driscoll (1231) (Started Apr 14, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","001001",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621)","Mark K Driscoll (1231)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","001001",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621)","Mark K Driscoll (1231)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","002001",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621) (Started Apr 14, 2009)","Mark K Driscoll (1231) (Started Apr 14, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","002001",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621)","Mark K Driscoll (1231)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","002001",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621)","Mark K Driscoll (1231)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","004001",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621) (Started Apr 14, 2009)","Mark K Driscoll (1231) (Started Apr 14, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","004001",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621)","Mark K Driscoll (1231)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bayonne Plant Holding, LLC","50497","004001",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Hudson County","NJ017","017","Cogeneration","40.6553","-74.1124","Bayonne Plant Holding, LLC","General Electric Company","Timothy Fagan (603621)","Mark K Driscoll (1231)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Other Oil",,"Water Injection<br>Selective Catalytic Reduction",,,"09/15/1988","Operating","580.0",
"NJ","Bergen Generating Station","2398","1101",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Started May 07, 2009)","Mark F Strickland (603622) (Started May 07, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1101",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Ended May 06, 2010)<br>Jeffrey L Stokes (605316) (Started May 06, 2010)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1101",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Jeffrey L Stokes (605316)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1101",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG Fossil, LLC","PSEG Fossil, LLC","Peter Van Den Houten (608054)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1201",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Started May 07, 2009)","Mark F Strickland (603622) (Started May 07, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1201",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Ended May 06, 2010)<br>Jeffrey L Stokes (605316) (Started May 06, 2010)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1201",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Jeffrey L Stokes (605316)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1201",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG Fossil, LLC","PSEG Fossil, LLC","Peter Van Den Houten (608054)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1301",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Started May 07, 2009)","Mark F Strickland (603622) (Started May 07, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1301",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Ended May 06, 2010)<br>Jeffrey L Stokes (605316) (Started May 06, 2010)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1301",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Jeffrey L Stokes (605316)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1301",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG Fossil, LLC","PSEG Fossil, LLC","Peter Van Den Houten (608054)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1401",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Started May 07, 2009)","Mark F Strickland (603622) (Started May 07, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1401",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Ended May 06, 2010)<br>Jeffrey L Stokes (605316) (Started May 06, 2010)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1401",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Jeffrey L Stokes (605316)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","1401",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG Fossil, LLC","PSEG Fossil, LLC","Peter Van Den Houten (608054)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection",,,"06/01/1995","Operating","1515.0",
"NJ","Bergen Generating Station","2398","2101",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Started May 07, 2009)","Mark F Strickland (603622) (Started May 07, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2101",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Ended May 06, 2010)<br>Jeffrey L Stokes (605316) (Started May 06, 2010)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2101",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Jeffrey L Stokes (605316)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2101",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG Fossil, LLC","PSEG Fossil, LLC","Peter Van Den Houten (608054)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2201",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Started May 07, 2009)","Mark F Strickland (603622) (Started May 07, 2009)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2201",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Michael Brown (604202) (Ended May 06, 2010)<br>Jeffrey L Stokes (605316) (Started May 06, 2010)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2201",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG","PSEG","Jeffrey L Stokes (605316)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Bergen Generating Station","2398","2201",,"2020","ARP, CSNOX, CSOSG2, CSSO2G1, RGGI","2","MAAC","Bergen County","NJ003","003","Electric Utility","40.8375","-74.0244","PSEG Fossil, LLC","PSEG Fossil, LLC","Peter Van Den Houten (608054)","Mark F Strickland (603622)","Phase 2",,"Combined cycle","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction",,,"05/01/2002","Operating","2450.0",
"NJ","Burlington Generating Station","2399","12001","CP0001","2009","CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Burlington County","NJ005","005","Electric Utility","40.0753","-74.8781","PSEG","PSEG","Richard Rebori (605403) (Started Jul 13, 2009)","Mark F Strickland (603622) (Started Jul 13, 2009)",,,"Combustion turbine","Diesel Oil",,,,,,"05/11/1972","Operating","810.0",
"NJ","Burlington Generating Station","2399","12001","CP0001","2010","CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Burlington County","NJ005","005","Electric Utility","40.0753","-74.8781","PSEG","PSEG","Richard Rebori (605403)","Mark F Strickland (603622)",,,"Combustion turbine","Diesel Oil",,,,,,"05/11/1972","Operating","810.0",
"NJ","Burlington Generating Station","2399","12001","CP0001","2011","CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Burlington County","NJ005","005","Electric Utility","40.0753","-74.8781","PSEG","PSEG","Richard Rebori (605403)","Mark F Strickland (603622)",,,"Combustion turbine","Diesel Oil",,,,,,"05/11/1972","Operating","810.0",
"NJ","Burlington Generating Station","2399","121",,"2009","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Burlington County","NJ005","005","Electric Utility","40.0753","-74.8781","PSEG","PSEG","Richard Rebori (605403) (Started Jul 13, 2009)","Mark F Strickland (603622) (Started Jul 13, 2009)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"05/12/2000","Operating","475.0",
"NJ","Burlington Generating Station","2399","121",,"2010","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Burlington County","NJ005","005","Electric Utility","40.0753","-74.8781","PSEG","PSEG","Richard Rebori (605403)","Mark F Strickland (603622)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"05/12/2000","Operating","463.0",
"NJ","Burlington Generating Station","2399","121",,"2011","ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI","2",,"Burlington County","NJ005","005","Electric Utility","40.0753","-74.8781","PSEG","PSEG","Richard Rebori (605403)","Mark F Strickland (603622)","Phase 2",,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"05/12/2000","Operating","463.0",
