State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr),,,,,,
NY,Independence,54547,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Oswego County,NY075,75,Cogeneration,43.495,-76.4508,"Sithe/Independence Power Partners, LP","Sithe Energies Power Services, Inc.",Eric H Pahl (608838),Cynthia Vodopivec (603383),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,9/1/1994,Operating,2133,,,,,,
NY,Independence,54547,3,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Oswego County,NY075,75,Cogeneration,43.495,-76.4508,"Sithe/Independence Power Partners, LP","Sithe Energies Power Services, Inc.",Eric H Pahl (608838),Cynthia Vodopivec (603383),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,8/1/1994,Operating,2133,,Fuel Type (Primary),Unit Type,Count, Average Max Hourly HI Rate (MMBtu/hr),Average by Fuel Type
NY,Independence,54547,4,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Oswego County,NY075,75,Cogeneration,43.495,-76.4508,"Sithe/Independence Power Partners, LP","Sithe Energies Power Services, Inc.",Eric H Pahl (608838),Cynthia Vodopivec (603383),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,8/1/1994,Operating,2133,,Wood,Circulating fluidized bed boiler,3,288,288
NY,"Castleton Power, LLC",10190,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Rensselaer County,NY083,83,Electric Utility,42.5375,-73.7433,"Castleton Power, LLC",Castleton Energy Services,Steve G Konisky (2616),Daniel Rotunno (2451),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,9/1/1992,Operating,670,,Pipeline Natural Gas,Combined cycle,62,1533.254839,1413.566234
NY,Lockport,54041,11854,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Niagara County,NY063,63,Cogeneration,43.1622,-78.7453,"Lockport Energy Associates, LP","Lockport Energy Associates, LP",Lewis L Staley (2239),Daniel Rotunno (2451),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,12/28/1992,Operating,1531,,Pipeline Natural Gas,Combustion turbine,64,387.3234375,
NY,Lockport,54041,11855,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Niagara County,NY063,63,Cogeneration,43.1622,-78.7453,"Lockport Energy Associates, LP","Lockport Energy Associates, LP",Lewis L Staley (2239),Daniel Rotunno (2451),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,12/28/1992,Operating,1531,,Pipeline Natural Gas,Dry bottom wall-fired boiler,8,3242.125,
NY,Lockport,54041,11856,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Niagara County,NY063,63,Cogeneration,43.1622,-78.7453,"Lockport Energy Associates, LP","Lockport Energy Associates, LP",Lewis L Staley (2239),Daniel Rotunno (2451),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,12/28/1992,Operating,1531,,Pipeline Natural Gas,Tangentially-fired,20,3595.085,
NY,Indeck-Olean Energy Center,54076,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Cattaraugus County,NY009,9,Cogeneration,42.0875,-78.4578,Indeck-Olean Limited Partnership,Indeck-Olean Limited Partnership,Michael D Ferguson (2911),Donald D Hittner (604404),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction<br>Steam Injection,,,6/8/1994,Operating,789,,Diesel Oil,Combustion turbine,31,535.9677419,535.9677419
NY,Indeck-Silver Springs Energy Center,50449,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Wyoming County,NY121,121,Cogeneration,42.6544,-78.0772,Indeck Energy Services of Silver Springs,Indeck Energy Services of Silver Springs,Michael D Ferguson (2911),Donald D Hittner (604404),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,6/1/1991,Operating,628,,Residual Oil,Dry bottom wall-fired boiler,2,9456.5,6833.666667
NY,Caithness Long Island Energy Center,56234,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Suffolk County,NY103,103,Electric Utility,40.8142,-72.9403,Caithness Energy,Siemens Power Generation Operating Services Co,Thomas A Grace (1245),Gary Keevill (603822),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Ammonia Injection<br>Selective Catalytic Reduction,,,4/17/2009,Operating,2650,,Residual Oil,Tangentially-fired,4,5522.25,
NY,Allegany Station No. 133,10619,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Allegany County,NY003,3,Electric Utility,42.5083,-78.0661,Allegany Generating Station,Allegany Generating Station,John B Kingston (2365),Greg Sharland (2129),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Water Injection<br>Selective Catalytic Reduction,,,2/13/1996,Operating,540,,Coal,Dry bottom wall-fired boiler,1,6280,2393.857143
NY,Massena Energy Facility,54592,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,St. Lawrence County,NY089,89,Cogeneration,44.9503,-74.8928,"Power City Partners, LP",MEG OP Co (Morris Energy Group Operating Company),Walter J Relling (602898),Greg Sharland (2129),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction<br>Steam Injection,,,4/1/1993,Operating,900,,Coal,Tangentially-fired,6,1746.166667,
NY,Athens Generating Company,55405,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Greene County,NY039,39,Electric Utility,42.2728,-73.8492,"MACHGen, LLC, New Athens Generating Company, LLC",North American Energy Services,"Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019)",Hank Tripp (609258),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,6/27/2003,Operating,3100,,Natural Gas,Dry bottom wall-fired boiler,1,440,440
NY,Athens Generating Company,55405,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Greene County,NY039,39,Electric Utility,42.2728,-73.8492,"MACHGen, LLC, New Athens Generating Company, LLC",North American Energy Services,"Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019)",Hank Tripp (609258),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,5/12/2003,Operating,3100,,,,,,
NY,Athens Generating Company,55405,3,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Greene County,NY039,39,Electric Utility,42.2728,-73.8492,"MACHGen, LLC, New Athens Generating Company, LLC",North American Energy Services,"Dale Lebsack (601710) (Ended Oct 09, 2019)<br>Andrea Miller (609566) (Started Oct 09, 2019)",Hank Tripp (609258),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,4/8/2003,Operating,3100,,,,,,
NY,Pinelawn Power,56188,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Suffolk County,NY103,103,Electric Utility,40.7358,-73.3881,"J Power USA Development Co, Ltd.","J Power USA Development Co, Ltd.",Paul E Peterson (607880),Jason White (608523),Phase 2,,Combined cycle,Pipeline Natural Gas,Other Oil,,Water Injection<br>Selective Catalytic Reduction,,,6/14/2005,Operating,850,,,,,,
NY,Indeck-Oswego Energy Center,50450,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Oswego County,NY075,75,Cogeneration,43.4682,-76.4965,Indeck-Oswego Limited Partnership,Indeck-Oswego Limited Partnership,Michael D Ferguson (2911),John B Kingston (2365),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,5/1/1990,Operating,570,,,,,,
NY,Indeck-Yerkes Energy Center,50451,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Erie County,NY029,29,Cogeneration,42.9671,-78.9182,Indeck-Yerkes Limited Partnership,Indeck-Yerkes Limited Partnership,Michael D Ferguson (2911),John B Kingston (2365),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,1/1/1988,Operating,627,,,,,,
NY,Poletti 500 MW CC,56196,CTG7A,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Queens County,NY081,81,Electric Utility,40.7881,-73.9056,New York Power Authority,New York Power Authority,"John M Kahabka (604275) (Ended Apr 30, 2019)<br>Joshua P Ramos (605253) (Started Apr 30, 2019)","Joshua P Ramos (605253) (Ended Apr 30, 2019)<br>Patricia Meehan (609388) (Started Apr 30, 2019)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,12/31/2005,Operating,2080,,,,,,
NY,Poletti 500 MW CC,56196,CTG7B,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Queens County,NY081,81,Electric Utility,40.7881,-73.9056,New York Power Authority,New York Power Authority,"John M Kahabka (604275) (Ended Apr 30, 2019)<br>Joshua P Ramos (605253) (Started Apr 30, 2019)","Joshua P Ramos (605253) (Ended Apr 30, 2019)<br>Patricia Meehan (609388) (Started Apr 30, 2019)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,12/31/2005,Operating,2041,,,,,,
NY,Richard M Flynn (Holtsville),7314,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Suffolk County,NY103,103,Electric Utility,40.8153,-73.0644,New York Power Authority,New York Power Authority,"John M Kahabka (604275) (Ended Apr 30, 2019)<br>Joshua P Ramos (605253) (Started Apr 30, 2019)","Joshua P Ramos (605253) (Ended Apr 30, 2019)<br>Patricia Meehan (609388) (Started Apr 30, 2019)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,,,,4/1/1994,Operating,1325,,,,,,
NY,Carr Street Generating Station,50978,A,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Onondaga County,NY067,67,Electric Utility,43.0611,-76.0819,"Carr Street Generating Station, LP",Brookfield Renewable Energy Group,Jon Elmer (608356),Kenny l Cloinger (606200),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Ammonia Injection,,,12/11/1993,Operating,470,,,,,,
NY,Carr Street Generating Station,50978,B,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Onondaga County,NY067,67,Electric Utility,43.0611,-76.0819,"Carr Street Generating Station, LP",Brookfield Renewable Energy Group,Jon Elmer (608356),Kenny l Cloinger (606200),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Ammonia Injection,,,12/11/1993,Operating,488,,,,,,
NY,Fortistar North Tonawanda Inc,54131,NTCT1,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Niagara County,NY063,63,Cogeneration,43.0483,-78.8539,Fortistar,North American Energy Services,Daniel Rotunno (2451),Lewis L Staley (2239),,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,9/8/1993,Operating,585,,,,,,
NY,Bethlehem Energy Center (Albany),2539,10001,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Albany County,NY001,1,Electric Utility,42.5905,-73.7636,"PSEG Power New York, Inc.","PSEG Power New York, Inc.",Michael S Mastriani (609205),Mark F Strickland (603622),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/10/2005,Operating,2450,,,,,,
NY,Bethlehem Energy Center (Albany),2539,10002,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Albany County,NY001,1,Electric Utility,42.5905,-73.7636,"PSEG Power New York, Inc.","PSEG Power New York, Inc.",Michael S Mastriani (609205),Mark F Strickland (603622),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/18/2005,Operating,2450,,,,,,
NY,Bethlehem Energy Center (Albany),2539,10003,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Albany County,NY001,1,Electric Utility,42.5905,-73.7636,"PSEG Power New York, Inc.","PSEG Power New York, Inc.",Michael S Mastriani (609205),Mark F Strickland (603622),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/12/2005,Operating,2450,,,,,,
NY,Rensselaer Cogen,54034,1GTDBS,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Rensselaer County,NY083,83,Electric Utility,42.63,-73.75,Rensselaer Generating LLC,Rensselaer Generating LLC,Harry H Brand (1820),Michael C McConnell (603241),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction<br>Steam Injection,,,4/22/1994,Operating,786.8,,,,,,
NY,Astoria Energy,55375,CT1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Queens County,NY081,81,Electric Utility,40.7825,-73.8964,"Astoria Energy, LLC",NAES Corporation,Charles McCall (603228),Michael J Stockstad (606598),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/29/2006,Operating,2550,,,,,,
NY,Astoria Energy,55375,CT2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Queens County,NY081,81,Electric Utility,40.7825,-73.8964,"Astoria Energy, LLC",NAES Corporation,Charles McCall (603228),Michael J Stockstad (606598),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,3/29/2006,Operating,2550,,,,,,
NY,Astoria Energy,55375,CT3,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Queens County,NY081,81,Electric Utility,40.7825,-73.8964,"Astoria Energy, LLC",NAES Corporation,Charles McCall (603228),Michael J Stockstad (606598),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,4/6/2011,Operating,2550,,,,,,
NY,Astoria Energy,55375,CT4,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Queens County,NY081,81,Electric Utility,40.7825,-73.8964,"Astoria Energy, LLC",NAES Corporation,Charles McCall (603228),Michael J Stockstad (606598),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,4/11/2011,Operating,2550,,,,,,
NY,Indeck-Corinth Energy Center,50458,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Saratoga County,NY091,91,Cogeneration,43.25,-73.8125,Indeck-Corinth Limited Partnership,Indeck-Corinth Limited Partnership,Michael D Ferguson (2911),Mike E Minnolera (603852),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners<br>Water Injection<br>Selective Catalytic Reduction,,,7/1/1995,Operating,1279,,,,,,
NY,Bethpage Energy Center,50292,GT1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Nassau County,NY059,59,Electric Utility,40.7469,-73.4994,TBG Cogen Partners,"Calpine Operating Services Company, Inc.",Glen Stockhausen (3292),Patrick Blanchard (1082),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Steam Injection,,,8/13/1989,Operating,416,,,,,,
NY,Bethpage Energy Center,50292,GT2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Nassau County,NY059,59,Electric Utility,40.7469,-73.4994,TBG Cogen Partners,"Calpine Operating Services Company, Inc.",Glen Stockhausen (3292),Patrick Blanchard (1082),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Steam Injection,,,8/13/1989,Operating,416,,,,,,
NY,Bethpage Energy Center,50292,GT4,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Nassau County,NY059,59,Electric Utility,40.7469,-73.4994,"Bethpage Energy Center 3, LLC","Calpine Operating Services Company, Inc.",Glen Stockhausen (3292),Patrick Blanchard (1082),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Water Injection<br>Selective Catalytic Reduction,,,5/8/2005,Operating,730,,,,,,
NY,KIAC Cogeneration,54114,GT1,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Queens County,NY081,81,Cogeneration,40.6417,-73.7778,Calpine Corporation,Calpine Corporation,Michael O'Brien (605705),Patrick Blanchard (1082),,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Selective Catalytic Reduction,,,2/1/1995,Operating,718,,,,,,
NY,KIAC Cogeneration,54114,GT2,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Queens County,NY081,81,Cogeneration,40.6417,-73.7778,Calpine Corporation,Calpine Corporation,Michael O'Brien (605705),Patrick Blanchard (1082),,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Water Injection<br>Selective Catalytic Reduction,,,2/1/1995,Operating,718,,,,,,
NY,"Saranac Power Partners, LP",54574,1,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Clinton County,NY019,19,Cogeneration,44.7132,-73.4557,"Saranac Power Partners, LP",Falcon Power Operating Company,John D Gokey (607918),Ryan Parks (603530),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Selective Catalytic Reduction,,,6/21/1994,Operating,1676,,,,,,
NY,"Saranac Power Partners, LP",54574,2,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Clinton County,NY019,19,Cogeneration,44.7132,-73.4557,"Saranac Power Partners, LP",Falcon Power Operating Company,John D Gokey (607918),Ryan Parks (603530),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Selective Catalytic Reduction,,,6/21/1994,Operating,1676,,,,,,
NY,Nassau Energy Corporation,52056,4,,2019,"CSNOX, CSOSG2, CSSO2G1, RGGI",2,NPCC,Nassau County,NY059,59,Cogeneration,40.7259,-73.5885,Nassau Energy Corp,Nassau Energy Corp,David S Petty (1653),Seth Blumencranz (603747),,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,3/22/1991,Operating,633,,,,,,
NY,Selkirk Cogen Partners,10725,CTG101,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Albany County,NY001,1,Cogeneration,42.5744,-73.8592,"Selkirk Cogen Partners, LP","Selkirk Cogen Partners, LP",John W Hanlon (1385),Susan D Flash (603940),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Steam Injection,,,4/17/1992,Operating,1215,,,,,,
NY,Selkirk Cogen Partners,10725,CTG201,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1, RGGI",2,,Albany County,NY001,1,Cogeneration,42.5744,-73.8592,"Selkirk Cogen Partners, LP","Selkirk Cogen Partners, LP",John W Hanlon (1385),Susan D Flash (603940),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Selective Catalytic Reduction<br>Steam Injection,,,9/1/1994,Operating,1259,,,,,,
